ID;Occurrences;Noun;Cxn;Process;Verb;Event_Type;Modification;Sem_NonSubjExperiencer;Sem_SubjStimulus;Verb_Form;Time;Corpus;Text_genre
CORIS_113;                 . Â« Signora Watson , la ... ehm , la moglie del suo ex , la signora Anna Watson , Ã¨ molto preoccupata . Ci ha detto che lei l ' < ha infastidita > , che ha infastidito suo marito , che si Ã¨ presentata a casa loro senza essere stata invitata e che in un 'occasione...Â»              ;fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Animate;Animate;Finite;2011_2021;Written;Fiction_prose
CORIS_117;                    di Palermo . Nel mirino ci sono anche i Nas di Palermo e i vertici nazionali di quel nucleo . Â« Sono un fuoriclasse . Questo < dÃ  fastidio > in Sicilia . Io amo i miei pazienti e loro mi rispettano come medico , Ã¨ quello che mi interessa Â» . E teorizza che la sua            ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Zero;Clausal;Finite;2011_2021;Written;Press
CORIS_118;                                          di alto profilo , che inevitabilmente rischiano di essere perseguiti legalmente . Non lasciandoli soli < , incoraggiamo > altri a tirare fuori la veritÃ  Â» . Molti hanno attaccato Snowden per essersi rifugiato in Russia , paese da cui ha                    ;coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Egophoric;Finite;2011_2021;Written;Press
CORIS_119;                                 di generare consenso e conservare l ' establishment . Io , a Bologna , ho privilegiato la produzione al consumo < , incoraggiando > gli artisti e mirando a costruire una cittÃ  in cui la cultura traina lo sviluppo urbano Â» . Due modi di essere comunisti in           ;coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Egophoric;NonFinite_Other;2011_2021;Written;Press
CORIS_12;                         un campo a Lamotte , sull ' altra riva del Rodano , sul territorio del nostro dipartimento dove la polizia del Gard non < poteva infastidirli > . C ' era in quel luogo un gran prato , una chiesetta antica , un ufficio postale e un calvario , insomma tutto quello di cui         ;fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Animate;Animate;NonFinite_Infinitive;1980_2000;Written;Press
CORIS_121;               paradigma dell ' alteritÃ  . Palazzo Fenzi , via San Gallo 10 , ore 17.30 , ingresso libero 20 maggio 2015 sez. * * * * * * Non si < fa intimorire > Aida torna a scuola * * * * * * PISA . Â« Razzisti ? Nella nostra scuola non ce ne sono mai stati Â» . I ragazzi dell ' istituto        ;timore;SV;SV_parasynthetic;intimorire;causative;Non_Modified;Animate;Unknown;NonFinite_Infinitive;2011_2021;Written;Press
CORIS_125;                   , da decidere di picchiarlo . L ' Animale , certo , avrei preferito non vederlo , ma so giÃ _che non mi darÃ  fastidio , se non < dare fastidio > puÃ² chiamarsi il suo continuo chiacchierio circa le mie doti sessuali . Lui Ã¨ uno belloccio , sportivo , mondano ,                    ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Zero;Unknown;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_126;                    . Venderebbe Nina per dosi gratis di ero . Venderebbe sua madre e tutta la sua famiglia . Sono anni che vive cosÃ¬ . Magro da < far paura > , con certi occhi da pesce lesso e una pelle incartapecorita da una vita di veleno . Lo incontriamo spesso al parco a                 ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Zero;Animate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_128;                       della luce . Si rialzÃ² quasi subito e mi accorsi che non doveva essere una cosa gravissima , anche_se era in uno stato da < far paura > , con i pantaloni a brandelli , un ginocchio gonfio e le mani sanguinanti . La prima persona ad accorrere fu la Flora ,               ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Zero;Animate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_129;"                      quasi convinto che sia una persona sola , pazza fin che vuoi ma sola "" . Si accese una sigaretta . Attese un momento e poi < riprese incoraggiato > dal silenzio di Freewell : "" Ho fatto delle indagini tra varie sette piu ' o meno segrete . Ho degli amici in quegli                  ";coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Inanimate;NonFinite_Other;1980_2000;Written;Fiction_prose
CORIS_130;"                  o Ã¨ in un imbarazzo tremendo . Wuang Li stava sudando come una fontana . "" Dimmi tutto , amico , lo sai che sono una tomba ! "" < lo incoraggiÃ² > , avvicinandosi come per rendere la conversazione piu ' intima . Il cinese alzÃ² lo sguardo , tirÃ² un profondo respiro e               ";coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_133;"                           , l ' avvocato , Ã¨ un cliente di questo locale ? "" Jacques , istintivamente , si allontanÃ² e lo guardÃ² con ostilitÃ  . < Sembrava infastidito > dall ' atteggiamento del poliziotto e sibilÃ² : "" Questo Ã¨ un locale molto discreto , e se anche lei Ã¨ della Polizia , io non          ";fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Animate;Inanimate;NonFinite_Other;1980_2000;Written;Fiction_prose
CORIS_135;                            avrebbero spazzato via tutti i soldati , tenuti insieme dal terrore , che sarebbero crollati psicologicamente . Ulma < fu impressionata > dai rapporti ed ebbe paura . Decise di aspettare i rinforzi per completare l ' accerchiamento , bloccare i rifornimenti               ;impressione;SV;SV_zero-derived;impressionare;causative;Non_Modified;Animate;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_136;"              questa la purezza ? "" domandai inorridito . "" Ce ne sarÃ  anche di un ' altra sorta , "" disse Guglielmo , "" ma , quale che sia , mi < fa sempre paura > . "" Cosa vi terrorizza di_piÃ¹ nella purezza ? "" chiesi . "" La fretta , "" rispose Guglielmo . "" Basta , basta , "" diceva ora           ";paura;LVC;LVC_fare;fare paura;causative;Modified;Egophoric;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_137;"                   miliardi di miliardi di miliardi di possibilitÃ  , o giÃ¹ di lÃ¬ , in ogni caso un numero di trentanove cifre . "" "" Stai barando < per impressionarmi > . Ho letto anch ' io il tuo Sefer Jesirah . Le lettere fondamentali sono ventidue e con quelle , e solo con quelle , Dio formÃ²        ";impressione;SV;SV_zero-derived;impressionare;causative;Non_Modified;Egophoric;Egophoric;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_14;                              si prosegue sulla statale 389 verso AlÃ  dei Sardi seguendo l ' altopiano di BuddusÃ² tra contorte querce da sughero < , impressionanti > per le loro dimensioni gigantesche ed enormi cave di granito . La strada , abbastanza lineare , raggiunge AlÃ  dei Sardi (             ;impressione;SV;SV_zero-derived;impressionare;causative;Non_Modified;Zero;Inanimate;NonFinite_Other;1980_2000;Written;Press
CORIS_140;                      Dovevamo impedirgli di bere . Che ce ne importa degli Eccentrici e dei Predoni ? E quanto_ai Serraturai , non ci hanno mai < dato un gran fastidio > , a noi del Pattume . Abbiamo sempre tirato avanti , sÃ¬ o no ? - Zitto , stupido - lo rimbeccÃ² Filina . - Ti sei dimenticato l '      ;fastidio;LVC;LVC_dare;dare fastidio;causative;Modified;Egophoric;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_141;                      Per un attimo fui un corriere di posta , da me visitato mentre si cambiavano i cavalli in quel villaggio della Britannia . < Fui addolorato > dalle bestemmie e le sentii come un affronto personale e diretto , come_se tutti sapessero che ero entrato in quella                  ;dolore;SV;SV_parasynthetic;addolorare;causative;Non_Modified;Egophoric;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_142;                         io un paio di amici giornalisti , e poi un sacco di malati , finti naturalmente , o li preferisci veri ? Meglio finti , < fanno meno impressione > . Ci mettiamo del fumo ... poi tu li tocchi e loro gridano ' sono guarito ' . Sai che scena . Non ti devi preoccupare , penso a       ;impressione;LVC;LVC_fare;fare impressione;causative;Modified;Zero;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_143;                         . Nulla di_piÃ¹ . Si dicono tante di quelle cose inutili pur_di non lasciare campo libero al silenzio . A me il silenzio < fa paura > . Â» Â« Anche a me , Lazzaro . Anni fa sono rimasto intrappolato in montagna durante una tormenta . Mi hanno salvato per                ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Egophoric;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_144;                      buio ? Mi incamminai . Con me si mossero il capo e gli altri . Voltandomi , comunicai involontariamente il mio dubbio . Mi < fecero paura > . La notte assorbiva le fronti oblique , si distinguevano le mascelle : tuttora li vedo alle partite di calcio arrancare              ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Egophoric;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_145;             centro . Si chiama Back to back . Dice che Ã¨ carino , magari un po ' caro . Elena e io ci siamo baciati . Lei puzza di cipolla , mi < dÃ  fastidio > . Non glielo dico , perÃ² dovrebbe capirlo . Continua a venire con le labbra vicino_alle mie . Alessandra ha messo una                 ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Egophoric;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_146;                          le dirÃ² come mi sento , perÃ² devo farlo , sento che il punto di non ritorno si avvicina pericolosamente . La pazzia mi < fa paura > . La vita mi fa paura . Tutto mi fa paura . Cerco Carlo e l ' Alessandra . Non li vedo . Ma c ' Ã¨ cosÃ¬ tanta gente . Mentre cerco di  ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Egophoric;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_149;                  esce nel cuore della notte solo per andare a punire i bambini bianchi ! Tu stattene tranquillo ! TU SEI PIU ' NERO DI LUI ! TU < FARAI PAURA > A LUI ! LUI NON OSERA ' AVVICINARSI AL TUO SGABUZZINO , PERCHE ' TU , SCHIFEZZA NEGRA , SEI LA DIRETTA PROGENIE DEL MALE ! LUI        ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Animate;Egophoric;Finite;1980_2000;Written;Fiction_prose
CORIS_15;"                             imbarazzo : "" Se nella telefonata ho adoperato un tono amichevole , ciÃ² Ã¨ stato solo perchÃ© in quel periodo Mangano < faceva paura > , ero cosciente della sua personalitÃ  criminale [...] . Mi telefonava di tanto in tanto ed io - data la sua personalitÃ  -             ";paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Zero;Animate;Finite;1980_2000;Written;Press
CORIS_150;"                        sorridendo . Lo invitÃ² a bere un bicchiere con lui . Parlarono dei vecchi tempi , delle scorribande a Siena di notte , a < dar fastidio > alle turiste tedesche : e si raccontarono per l ' ennesima volta di quando Franco aveva "" caricato "" quella biondona                  ";fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Animate;Animate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_151;                        dal fatto che la strada non era piÃ¹ assolata come prima e si accorse che nuvoloni grigi e neri , che giÃ  il giorno prima < avevano infastidito > la sua passeggiata , erano di nuovo lÃ¬ a preoccuparlo . Non se ne curÃ² e si addentrÃ² nel bosco come aveva fatto decine di             ;fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Inanimate;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_153;                   incontro . Era un tipo tarchiato , massiccio , con i capelli biondi corti e irsuti , rosso in viso e con un occhio bianco che < faceva impressione > . Indossava un giaccone di pelle come quello che Michele aveva visto a Gambenna , l ' autista , il giorno della fiera di              ;impressione;LVC;LVC_fare;fare impressione;causative;Non_Modified;Zero;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_154;                con lui , venite pure avanti . Ci sono le donne . Michele si sentÃ¬ venire la pelle d ' oca . Quel tipo aveva un modo di fare che < metteva paura > , come_se prendesse la gente per la gola . E poi quell ' occhio bianco gli faceva un certo effetto , chÃ© gli tornava in mente         ;paura;LVC;LVC_mettere;mettere paura;causative;Non_Modified;Zero;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_155;                     le nostre misure , gli anni possono diventare decenni e i giorni anni . Allora puÃ² non essere piÃ¹ incoscienza o follia . Mi < ha impressionato > leggere delle torture che molti uomini hanno subito nei campi di concentramento prima_di essere finiti e uccisi .                     ;impressione;SV;SV_zero-derived;impressionare;causative;Non_Modified;Egophoric;Clausal;Finite;1980_2000;Written;Fiction_prose
CORIS_156;"                              - incoraggiamento - sostegno - calore - partecipazione , concreti eppure lontani , complicati ma anche semplici da < far paura > ; c ' Ã¨ questa marea che va verso il piano a mezza coda e torna indietro , mi sommerge di una strana tristezza dolciastra             ";paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Zero;Inanimate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_159;                          rinchiusi in quell ' ospedale per la legge degli opposti . Per motivi diversi , il livello piÃ¹ basso e quello piÃ¹ alto < davano entrambi fastidio > a chi vegetava nel mezzo . O meglio , uno dava fastidio e l ' altro rappresentava una minaccia . Â« Viviamo nella dittatura            ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Animate;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_160;                        in terra . - - - Ascoltate ! - - - si sentÃ¬ dire il procuratore nella stanza vicino - - - sta facendo girare la chiave . < CiÃ² incoraggiÃ² > Gregor , il quale avrebbe voluto che tutti , anche suo padre e sua madre , lo incitassero , gridandogli : - - - Dai , Gregor ,        ;coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Clausal;Finite;1980_2000;Written;Fiction_prose
CORIS_161;                  di una volta ha fatto 12 al Totocalcio , gente che sta lÃ¬ lÃ¬ , giusto a un passettino . Raimunda , pensa il marito , si lascia < troppo impressionare > da tutte le cose che vede in tivvÃ¹ , e si sente la donna piÃ¹ infelice del mondo perchÃ© pensa solo alle case con la piscina            ;impressione;SV;SV_zero-derived;impressionare;causative;Modified;Animate;Inanimate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_162;                          era onesto e gentile ma era anche molto povero , perchÃ© a_differenza_degli altri osti era di indole molto tranquilla e < non incoraggiava > i clienti a bere un bicchiere di troppo sino_a ubriacarsi . Vendeva solo un tipo di vino che perÃ² era di ottima qualitÃ  . La          ;coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_164;                    parlare contro il tuo volere . Per ristabilire la purezza del mio Ordine dovrÃ² indagare a fondo ... ma sta ' certo che non t < ' infastidirÃ² > piÃ¹ ! Â» La frecciata di Riveda andÃ² a segno : Micon si accasciÃ² , appoggiandosi pesantemente a Rajasta che , subito                   ;fastidio;SV;SV_parasynthetic;infastidire;causative;Modified;Egophoric;Egophoric;Finite;1980_2000;Written;Fiction_prose
CORIS_165;                          lievemente dura . C ' era perÃ² in lei un certo non so che di sensuale e tenebroso , e gli uomini dello stabilimento si < sentivano incoraggiati > a corteggiarla e a farle delle proposte , tutte regolarmente respinte dalla giovane con disinvoltura . Nessuno era mai                ;coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Unknown;NonFinite_Other;1980_2000;Written;Fiction_prose
CORIS_167;"                      . "" Ma l ' hai sentito ? "" le domandÃ² . Sembrava proprio arrabbiato . "" PerchÃ¨ lo incoraggi in questa robaccia ... "" "" Non < lo incoraggio > affatto ... "" disse lei . "" E invece sÃ¬ , accidentaccio "" , ringhiÃ² lui . Lei per un attimo sembrÃ² incerta . "" Proprio cosÃ¬ ! ""       ";coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Egophoric;Finite;1980_2000;Written;Fiction_prose
CORIS_168;"                    piÃ¹ di stare in casa , andava ad abitare per qualche giorno da Sipsey a Troutville . Ma non versÃ² mai una sola lacrima . Era < troppo addolorata > per piangere . Sa . un cuore si puÃ² spezzare . ma continua lo stesso a battere . "" Mamma Threadgoode era preoccupatissima             ";dolore;SV;SV_parasynthetic;addolorare;causative;Modified;Animate;Unknown;NonFinite_Other;1980_2000;Written;Fiction_prose
CORIS_169;"                        Fra cinque settimane dovremo andarcene . PerchÃ© lavorare ? "" Priest gli rivolse "" lo sguardo "" , quello sguardo ipnotico < che intimoriva > e incantava chiunque non fosse piÃ¹ che determinato . LasciÃ² che nella stanza calasse il silenzio , in_modo_che tutti                  ";timore;SV;SV_parasynthetic;intimorire;causative;Non_Modified;Animate;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_170;"                 trattoria ' da Renzo ' o alla locanda ' da Nina ' . Tu che dici , Bob ? "" Bob Ugo lo chiamava sempre cosÃ¬ perchÃ© sapeva che gli < dava fastidio > . Era una peste , ma gli era simpatico . Roberto era dubbioso quanto loro . Ma bisognava pur decidere . Propose da Nina .             ";fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Animate;Clausal;Finite;1980_2000;Written;Fiction_prose
CORIS_171;                      . Le idee che ha dell ' interno sono ritenute infantili , e si suppone che lui stesso abbia paura delle cose con cui vuole < fare paura > all ' uomo . SÃ¬ , lui ne ha piÃ¹ paura dell ' uomo , perchÃ© questo non vuole null ' altro che entrare , persino quando ha sentito      ;paura;LVC;LVC_fare;fare paura;causative;Non_Modified;Animate;Animate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_173;                    Si voltÃ² a guardare . Lui era sempre seduto sulla panchina e le sorrideva quasi con allegria . Fece con la mano un gesto che < doveva incoraggiarla > ad andare . 12 Quando arrivÃ² ai piedi della collina di Pet ( in , l ' altura verdeggiante che si erge al centro di Praga , si         ;coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Inanimate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_176;"                         . Sembra che dedichiamo maggiore devozione agli Dei minori , ma non Ã¨ vero . Ci rivolgiamo a loro piÃ¹ spesso per timore < di infastidire > il loro Signore . I nostri padri sapevano che Chukwu era il Sommo Dio e perciÃ² chiamavano spesso i loro figli Chukwuka , ""            ";fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Animate;Egophoric;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_178;"                          aveva rinunciato alla sua lussuosa tunica di lino per un grossolano grembiule di cuoio ; nÃ© il calore nÃ© il sudore gli < davano fastidio > . Il mondo delle cave gli piaceva ben piÃ¹ di quello della corte ; vicino_a quegli esseri umani veri , ai quali la materia             ";fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Animate;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_179;                   boccata d ' aria fresca , credo che avrei tagliato la corda . - Ma Merur non Ã¨ un posto stupendo ? - Non per me . Le donzelle < mi infastidiscono > , gli artigiani sono gelosi dei loro segreti e la funzione di amministratore non mi soddisfa . - Cambiare t ' ha fatto bene           ;fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Egophoric;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_180;                     alla mia e avrai partita vinta . - Come vuoi . Shenar si congratulÃ² con il fratello . In Nubia , Ramses non gli avrebbe piÃ¹ < dato fastidio > . Asha si annoiava . Nel_giro_di poche settimane aveva esaurito le soddisfazioni del lavoro amministrativo                            ;fastidio;LVC;LVC_dare;dare fastidio;causative;Non_Modified;Animate;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_181;                            quadrato , acconciata con una parrucca a_forma_di spoglia di avvoltoio , simbolo della funzione materna , Tuya aveva < fatto una tale impressione > sulle candidate che molte di loro parevano aver perduto le proprie facoltÃ  . La regina , che da giovane aveva superato la             ;impressione;LVC;LVC_fare;fare impressione;causative;Modified;Animate;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_182;"                        che potÃ© e li lasciÃ² cadere arruffati lungo la linea del viso . Non proprio affascinante , pensÃ² . Ma non stava cercando < di impressionare > nessuno . "" Oppure sÃ¬ ? "" Sforzandosi di non rispondersi , lasciÃ² la camera . Fu guidata verso la cucina dal calore del               ";impressione;SV;SV_zero-derived;impressionare;causative;Non_Modified;Animate;Animate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_183;                    inosservata , e non dice verbo . Assolutamente no , risponde Thomas . E ' stato molto utile averlo con noi . E non a caso ha < fatto una grande impressione > sui miei colleghi . Proprio una grande impressione . Davvero ? Thomas comincia a raccontare la storia di una                          ;impressione;LVC;LVC_fare;fare impressione;causative;Modified;Animate;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_184;"                       ; ma se avesse fatto undici piani a piedi sarebbe arrivato sudaticcio e senza fiato , e lui aveva tutta l ' intenzione di < fare una buona impressione > . CosÃ¬ strinse i denti , si tappÃ² il naso e tirÃ² un sospiro di sollievo nel constatare che la corsa era stata relativamente           ";impressione;LVC;LVC_fare;fare impressione;causative;Modified;Zero;Animate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_186;                        , nel corso degli anni , e costoro non figuravano in alcuno schedario . Lavoravano quasi tutti senza mettersi in vista , < non infastidivano > nessuno e attiravano di rado l ' attenzione delle autoritÃ  . La possibilitÃ  che la donna potesse far parte di questo                  ;fastidio;SV;SV_parasynthetic;infastidire;causative;Non_Modified;Animate;Animate;Finite;1980_2000;Written;Fiction_prose
CORIS_187;                    . Se ne stava lÃ¬ , sedutacon gli occhi bassi . Alle pompe funebri , avevano messo Sonny in una piccola cassa bianca . Non mi < fece nessuna impressione > . Come quando morirono zia Letty e mia madre , e quando seppi che Monte era morto , sentii che ciÃ² che rimaneva di loro non           ;impressione;LVC;LVC_fare;fare impressione;causative;Modified;Egophoric;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_189;                        picchiando , e questo li fa soffrire molto di_piÃ¹ . PerchÃ© una cosa , dice sempre Sybille , quando te la sai spiegare ti < fa meno paura > . Ma tanto i bambini piccoli non possono parlare , e ai loro problemi nessuno ci bada ! ) - Bene - disse il papÃ                       ;paura;LVC;LVC_fare;fare paura;causative;Modified;Animate;Inanimate;Finite;1980_2000;Written;Fiction_prose
CORIS_19;                         , segretario Udeur Al direttore - LunedÃ¬ sera ho visto la trasmissione di Bruno Vespa sulla fecondazione assistita . Mi < ha impressionato > come nessuno sia stato in_grado_di rispondere alla evidente provocazione del dottor Loris Brunetta , Presidente dei                   ;impressione;SV;SV_zero-derived;impressionare;causative;Non_Modified;Egophoric;Clausal;Finite;2001_2010;Written;Websites
CORIS_190;"                  al "" buono "" ! Se uno ce la mette tutta per migliorare , ed Ã¨ uguale che si tratti di Robert o di mia madre , io penso che sia < giusto incoraggiarlo > , e non stare lÃ¬ a guardare dove sbaglia ancora per rinfacciarglielo ! Comunque , a_parte questo piccolo incidente ,                  ";coraggio;SV;SV_parasynthetic;incoraggiare;causative;Non_Modified;Animate;Unknown;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
CORIS_192;                       cera per pavimenti e di minestra della mensa . Gilly pensava di odiare tutte le scuole a un punto tale che niente potesse < ormai addolorarla > o deluderla , eppure ogni gradino le sembrava piÃ¹ faticoso del precedente - come un condannato a morte che percorresse                ;dolore;SV;SV_parasynthetic;addolorare;causative;Non_Modified;Animate;Inanimate;NonFinite_Infinitive;1980_2000;Written;Fiction_prose
